File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\Flounder.hpp,176,169,0,0,4,0,3,3,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\camera\Camera.cpp,31,26,10,2,5,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\camera\Camera.hpp,66,26,14,1,11,0,29,124,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\camera\ICamera.hpp,99,30,16,0,16,0,53,350,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\camera\IPlayer.hpp,45,18,8,0,7,0,20,107,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\deferred\RendererDeferred.cpp,125,90,57,4,19,1,16,59,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\deferred\RendererDeferred.hpp,59,30,13,0,8,0,21,120,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Audio.cpp,136,106,70,15,26,0,4,14,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,679,524,328,66,114,5,41,229,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Joysticks.cpp,81,68,37,12,12,0,1,8,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Keyboard.cpp,62,48,22,6,11,0,3,17,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Mouse.cpp,143,112,59,10,24,0,7,42,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Audio.hpp,75,47,25,1,15,0,13,55,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.hpp,323,136,100,1,70,0,117,569,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Joysticks.hpp,98,36,24,1,14,0,48,260,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Keyboard.hpp,58,25,14,1,10,0,23,112,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Mouse.hpp,134,48,36,1,22,0,64,326,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\engine\Engine.cpp,46,37,16,2,8,0,1,8,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\engine\Engine.hpp,125,35,25,1,20,0,70,415,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\engine\IModule.hpp,31,15,6,0,4,0,12,42,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\engine\IUpdater.hpp,86,27,15,0,15,0,44,215,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\engine\ModuleUpdate.hpp,14,12,3,0,2,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\Entity.cpp,95,80,39,10,15,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\Entity.hpp,56,34,24,0,22,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\EntityRender.hpp,28,23,13,0,5,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\IComponent.hpp,32,23,12,0,9,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\components\ComponentAlpha.cpp,36,31,10,2,5,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\entities\components\ComponentAlpha.hpp,27,19,10,0,8,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventChange.cpp,34,28,11,3,6,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\Events.cpp,54,46,21,6,8,1,0,1,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventStandard.cpp,30,25,10,2,5,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventTime.cpp,34,28,11,3,6,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventChange.hpp,36,20,10,0,7,0,9,60,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\Events.hpp,53,23,11,1,9,0,21,90,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventStandard.hpp,42,20,11,0,8,0,14,104,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\EventTime.hpp,42,21,11,0,9,0,12,76,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\events\IEvent.hpp,43,17,8,0,6,0,20,82,0,0
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\fbos\Fbo.cpp,352,294,178,16,53,0,5,98,0,0
