File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\camera\Camera.cpp,Camera::Camera(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\camera\Camera.cpp,Camera::~Camera(),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\camera\Camera.cpp,Camera::Update(),10,9,5,2,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\deferred\RendererDeferred.cpp,RendererDeferred::RendererDeferred(Fbo *fbo),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\deferred\RendererDeferred.cpp,RendererDeferred::RendererDeferred(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\deferred\RendererDeferred.cpp,RendererDeferred::~RendererDeferred(),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\deferred\RendererDeferred.cpp,"RendererDeferred::Apply(const int n_args, ...)",31,24,20,1,7,1,0,3,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\deferred\RendererDeferred.cpp,RendererDeferred::StoreValues(),63,41,31,3,6,0,16,56,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Audio.cpp,Audio::Audio(),4,4,4,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Audio.cpp,Audio::~Audio(),9,8,6,1,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Audio.cpp,Audio::Update(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Audio.cpp,Audio::LoadFileWav(const std::string &path),81,61,49,9,16,0,4,14,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Audio.cpp,Audio::AddSound(Sound *object),3,3,3,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Audio.cpp,Audio::GetSound(const std::string &name),10,9,5,4,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,"CallbackError(int error, const char *description)",2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,CallbackClose(GLFWwindow *window),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder.Core\src\devices\Display.cpp,"CallbackFocus(GLFWwindow *window, int focused)",2,2,2,0,0,0,0,0,
