File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\flounder.h,140,111,0,0,26,0,3,3,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\camera\camera.cpp,41,34,16,2,7,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\camera\camera.h,75,28,16,1,13,0,34,150,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\camera\icamera.h,90,30,16,0,16,0,44,305,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\camera\iplayer.h,45,18,8,0,7,0,20,107,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\deferred\deferredrenderer.cpp,115,73,50,4,18,1,24,77,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\deferred\deferredrenderer.h,56,28,12,0,7,0,21,120,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\audio.cpp,43,31,15,2,9,0,3,12,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,404,292,180,29,71,4,41,267,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\joysticks.cpp,94,77,37,12,16,0,1,8,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\keyboard.cpp,64,49,23,4,12,0,3,17,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\mouse.cpp,177,137,79,15,33,0,7,42,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\audio.h,49,27,12,1,9,0,13,55,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.h,246,80,60,1,39,0,127,694,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\joysticks.h,100,37,25,1,15,0,48,260,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\keyboard.h,61,26,15,1,12,0,23,112,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\mouse.h,130,48,36,1,22,0,60,310,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\entities\entity.cpp,13,10,3,0,3,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\entities\entity.h,12,10,5,0,2,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\events\eventchange.cpp,34,28,13,3,6,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\events\events.cpp,60,51,23,6,9,1,0,1,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\events\eventstandard.cpp,30,25,13,2,5,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\events\eventtime.cpp,34,28,14,3,6,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\events\eventchange.h,36,20,10,0,7,0,9,60,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\events\events.h,54,23,12,1,10,0,21,90,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\events\eventstandard.h,42,20,11,0,8,0,14,104,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\events\eventtime.h,42,21,11,0,9,0,12,76,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\events\ievent.h,43,17,8,0,6,0,20,82,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\fbos\fbo.cpp,367,304,199,28,60,0,3,29,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\fbos\depthbuffer.h,15,10,3,0,2,0,3,17,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\fbos\fbo.h,253,89,67,0,47,0,117,589,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\framework\framework.cpp,69,55,29,4,12,0,2,16,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\framework\framework.h,141,45,29,1,23,0,73,428,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\framework\imodule.h,36,16,7,0,5,0,15,53,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\framework\iupdater.h,79,26,15,0,15,0,38,182,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\framework\glfw\glfwupdater.cpp,200,156,108,18,31,0,13,48,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\framework\glfw\glfwupdater.h,77,57,41,0,17,0,3,12,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\helpers\helperarray.h,30,17,8,2,4,0,9,43,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\helpers\helperfile.h,37,24,9,2,5,0,8,37,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\helpers\helperstring.h,174,94,52,21,22,1,58,323,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs\axiscompound.cpp,38,29,16,3,9,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs\axisjoystick.cpp,44,34,19,5,10,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs\buttoncompound.cpp,47,38,21,6,9,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs\buttonjoystick.cpp,53,43,24,8,10,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs\buttonkeyboard.cpp,52,42,23,8,10,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs\buttonmouse.cpp,52,42,23,8,10,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs\axiscompound.h,36,18,8,0,7,0,11,51,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs\axisjoystick.h,39,20,9,0,7,0,12,65,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs\buttoncompound.h,37,19,10,0,7,0,11,49,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs\buttonjoystick.h,41,21,11,0,8,0,12,65,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs\buttonkeyboard.h,39,20,10,0,8,0,11,52,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs\buttonmouse.h,39,20,10,0,8,0,11,52,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs\iaxis.h,32,15,6,0,4,0,13,64,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs\ibutton.h,38,16,7,0,5,0,17,86,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\lights\attenuation.cpp,35,29,16,2,6,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\lights\fog.cpp,19,16,9,0,3,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\lights\light.cpp,37,31,18,2,6,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\lights\attenuation.h,52,16,11,0,7,0,29,167,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\lights\fog.h,35,16,10,0,5,0,14,83,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\lights\light.h,58,19,11,0,9,0,30,182,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\loaders\loaders.cpp,100,47,27,3,12,0,41,99,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\loaders\loaders.h,74,34,14,1,14,0,26,178,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\maths\colour.cpp,185,153,84,24,32,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\maths\delta.cpp,26,21,12,0,5,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\maths\matrix2x2.cpp,237,199,128,30,38,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\maths\matrix3x3.cpp,322,279,208,30,39,0,4,30,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\maths\matrix4x4.cpp,706,622,486,60,78,3,6,33,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\maths\quaternion.cpp,379,328,228,38,51,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\maths\timer.cpp,41,33,16,3,8,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\maths\vector2.cpp,264,214,114,44,50,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\maths\vector3.cpp,326,268,154,49,58,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\maths\vector4.cpp,246,201,111,39,45,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\maths\colour.h,196,33,27,0,26,0,137,847,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\maths\delta.h,37,18,10,0,7,0,12,40,0,0
