Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,258,26143,16921,10638,1882,4040,211,5182,30976,62,301
C:\Users\mattp\Documents\Flounder\Flounder-Core\src,258,26143,16921,10638,1882,4040,211,5182,30976,62,301
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\camera,4,241,100,50,3,39,0,102,581,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\deferred,2,171,101,62,4,25,1,45,197,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices,10,1312,774,475,68,230,4,308,1597,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\entities,2,25,20,8,0,5,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\events,9,369,229,113,15,64,1,76,413,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\fbos,3,649,412,280,30,114,0,123,635,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\fonts,14,1267,813,523,58,226,0,228,1512,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\framework,6,543,322,207,23,85,0,136,707,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\framework\glfw,2,256,206,140,19,36,0,14,51,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\guis,4,228,154,94,3,50,0,24,119,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\helpers,3,241,135,69,25,31,1,75,403,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\inputs,14,587,377,197,38,112,0,98,484,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\lights,6,236,127,75,4,36,0,73,432,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\loaders,2,122,72,39,4,22,0,28,173,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\maths,21,5020,2810,1898,334,710,6,1500,9430,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\models,4,599,416,276,33,115,0,68,337,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\noise,6,689,506,495,30,110,43,73,1023,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\particles,17,763,451,275,11,149,0,163,627,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\particles\spawns,9,258,189,103,5,56,0,13,50,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\physics,10,1508,870,565,92,252,0,386,2261,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\post,48,1357,1000,495,6,291,3,66,393,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\post\filters,38,921,710,329,2,211,0,0,0,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\post\pipelines,6,204,162,89,3,42,2,0,6,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\processing,11,492,294,145,15,82,0,116,515,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\processing\opengl,3,120,79,42,4,23,0,18,67,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\processing\resource,3,120,79,42,4,23,0,18,67,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\renderer,4,493,271,157,11,75,0,147,781,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\shaders,3,702,424,262,26,112,3,166,919,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\skyboxes,4,212,150,91,2,49,0,13,51,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\space,4,255,139,61,7,44,0,72,376,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\standards,3,103,65,28,3,19,0,19,72,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\tasks,2,73,48,21,2,14,0,11,49,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\textures,4,5583,4252,2787,962,565,149,766,5418,62,301
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\uis,22,1622,1136,732,60,336,0,150,807,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\visual,15,535,313,158,13,75,0,147,661,0,0
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\visual\interpolation,2,81,38,23,0,12,0,31,141,0,0
