File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\camera\camera.cpp,camera::camera(),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\camera\camera.cpp,camera::~camera(),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\camera\camera.cpp,"camera::load(icamera *camera, iplayer *player)",3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\camera\camera.cpp,camera::init(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\camera\camera.cpp,camera::update(),10,9,5,2,1,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\deferred\deferredrenderer.cpp,deferredrenderer::deferredrenderer(),6,6,4,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\deferred\deferredrenderer.cpp,deferredrenderer::~deferredrenderer(),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\deferred\deferredrenderer.cpp,"deferredrenderer::apply(const int n_args, ...)",34,26,24,1,8,1,0,3,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\deferred\deferredrenderer.cpp,deferredrenderer::storeValues(),55,26,18,3,5,0,24,74,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\audio.cpp,audio::audio(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\audio.cpp,audio::~audio(),1,1,1,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\audio.cpp,audio::init(),17,10,8,1,4,0,3,12,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\audio.cpp,audio::update(),6,6,4,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,"callbackError(int error, const char *description)",2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,callbackClose(GLFWwindow *window),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,"callbackFocus(GLFWwindow *window, int focused)",2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,"callbackPosition(GLFWwindow *window, int xpos, int ypos)",6,6,4,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,"callbackSize(GLFWwindow *window, int width, int height)",6,6,4,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,"callbackFrame(GLFWwindow *window, int width, int height)",2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::display(),22,19,19,0,3,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::~display(),10,4,4,0,3,0,3,12,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,"display::load(const int &glfwMajor, const int &glfwMinor, const int &width, const int &height, const std::string &title, const std::string &icon, const float &fpsLimit, const bool &vsync, const bool &antialiasing, const int &samples, const bool &fullscreen)",14,12,12,0,2,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::init(),142,86,60,8,22,4,34,232,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::update(),8,4,4,0,2,0,2,21,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::screenshot(),2,1,1,0,0,0,1,1,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::getWidth(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::getWindowWidth(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::getHeight(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::getWindowHeight(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::getAspectRatio(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,"display::setWindowSize(const int &width, const int &height)",4,4,4,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::getTitle(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::getFpsLimit(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::setFpsLimit(const int &fpsLimit),2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::isVSync(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::setVSync(const bool &vsync),8,6,4,1,1,0,1,1,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::isAntialiasing(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::setAntialiasing(const bool &antialiasing),2,2,2,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::getSamples(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::setSamples(const int &samples),3,3,3,0,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::isFullscreen(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::setFullscreen(const bool &fullscreen),26,23,15,2,3,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::getWindow(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::isClosed(),2,2,2,1,0,0,0,0,
C:\Users\mattp\Documents\Flounder\Flounder-Core\src\devices\display.cpp,display::isFocused(),2,2,2,1,0,0,0,0,
